spp_name, ott_id, broken_taxon, mrca_of_descendents, in_synth_tree
Fusarium burgessii,5317151,-,-,T
Chloromonas actinochloris,184931,-,-,T
Chilomonas sp. M1303,766948,-,-,T
Clavisodalis abbreviatus,992890,-,-,T
Streptomyces sp. TD-070,5648977,-,-,F
Microvirga aerilata,73096,-,-,T
Ascosphaera torchioi,493932,-,-,T
Arachnopeziza obtusipila,3711682,-,-,T
Pseudomonas brassicacearum,396594,-,-,T
Navicula cari,415663,-,-,T
Streptomyces yerevanensis,57140,-,-,T
Leptosphaeria biglobosa,962931,-,-,T
Leyanella arenaria,710597,-,-,T
Jannaschia seohaensis,897165,-,-,T
Legionella fallonii,76847,-,-,T
Goniomonas truncata,914450,-,-,T
Peronospora ranunculi,603327,-,-,T
Legionella sp. D2863,219209,-,-,T
Solimonas terrae,5252427,-,-,T
Clytia sp. JRH-2014,5441450,-,-,F
Roseomonas sp.,820717,-,-,T
Coprinellus silvaticus,650024,-,-,T
Hydrogenophaga sp. SG63,5903313,-,-,F
Furgasonia blochmanni,1010086,-,-,T
Coriobacteriaceae,122715,T,mrcaott50ott184,T
Chlamydomonas splendida,4734701,-,-,T
Phragmotaenium oryzicola,90398,-,-,T
Phragmotaenium fulvescens,63208,-,-,T
Coprinus sp. O73607,715098,-,-,F
Spiribacter sp.,5172864,-,-,F
Limnobacter litoralis,808778,-,-,T
Cytospora sp. RJ-2015,6379568,-,-,F
Alterococcus agarolyticus,1058220,-,-,T
Phaeothecoidea eucalypti,829044,-,-,T
Cladophialophora sp. TS-2016,5979162,-,-,F
Dysteria nabia,5668036,-,-,T
Tissierella creatinini,513659,-,-,T
Mycena albidolilacea,345747,-,-,T
Desulfovibrio sp. enrichment culture clone CIBANICRA-SRB35,None,-,-,F
Pleurostomatida,215585,-,-,F
Anaeromassilibacillus senegalensis,5585837,-,-,T
Sediminibacillus halophilus,339479,-,-,T
Modestobacter sp. SBT362,5642442,-,-,F
Cyrtohymena citrina,725668,-,-,T
Tumebacillus sp. AR23208,5994880,-,-,T
Naviculaceae,172205,-,-,F
Bacillus sp. LGMB20,5892566,-,-,F
Elasticomyces elasticus,881125,-,-,T
Neofusicoccum parvum,648285,-,-,T
Azospirillum sp. enrichment culture clone VanCtr101,5169899,-,-,T
Doto coronata,5875,-,-,T
Durinskia baltica,752511,-,-,T
Sellaphora laevissima,71651,-,-,T
Chitinophaga sp. MR-I4,5615516,-,-,F
Dinophyceae,621380,T,ott5246809,T
Diatrype sp. ATCC MYA-4413,729180,-,-,T
Bromus benekenii,294932,-,-,T
Rachicladosporium pini,789760,-,-,T
Candidatus Berkiella aquae,4790683,-,-,T
Microbotryum holostei,11893,-,-,T
Sebacina aff. epigaea MW 526,695512,-,-,T
Ulothrix sp. X1,573432,-,-,F
Phaeobacter sp. MED618,978750,-,-,F
Solicoccozyma terreus,None,-,-,F
Aphanophora eugeniae,960160,-,-,T
Thalassobacillus devorans,633136,-,-,T
Azotobacter chroococcum,313904,-,-,T
Xanthophyceae,151001,-,-,T
Rhodoferax sp. Cra25,5166937,-,-,F
Oceanibaculum indicum,561090,-,-,T
Vittina variegata,758610,-,-,T
Aetherobacter sp. SBSr008,148475,-,-,F
Tetradesmus obliquus,651329,-,-,T
Chlamydomonas nivalis,106687,-,-,T
Enteropneusta,570381,-,-,T
Candidatus Soleaferrea massiliensis,5605142,-,-,F
Protopelagonemertes beebei,612235,-,-,T
Erythroclonium sp. 1angustatum,5403001,-,-,T
Macroconia leptosphaeriae,81041,-,-,T
Schizopora radula,3798976,-,-,T
Dictyosporella thailandensis,7519961,-,-,T
Orthocladius subletteorum,1038873,-,-,T
Dongia mobilis,835217,-,-,T
Sandarakinorhabdus sp. A14,332023,-,-,T
Pedospumella encystans,527407,-,-,T
Dermea ariae,1061671,-,-,T
Chondromyces crocatus,424530,-,-,T
Vibrio sp. BS02,772318,-,-,T
Desulfomonile limimaris,918660,-,-,T
Rickettsiales,571642,T,mrcaott89ott277,T
Phytoseiidae,543034,-,-,T
Geastraceae,735798,-,-,T
Melioribacter roseus,291278,-,-,T
Graphiola phoenicis,285445,-,-,T
Calanoida,461523,-,-,T
Novosphingobium sp. I12B-00847,5238384,-,-,F
Longidoridae,760954,-,-,T
Saccharofermentans acetigenes,885753,-,-,T
Chaetomium sp.,572454,T,ott137202,T
Desulfobotulus sp. enrichment culture clone CIBANICRA-SRB52,None,-,-,F
Sediminibacterium sp. OTC30,5615550,-,-,F
Hymenobacter tibetensis,651753,-,-,T
Pleuroflammula croceosanguinea,3818138,-,-,T
Sporocadaceae,5982737,-,-,F
Nocardioides sp. KP62,829909,-,-,F
Rhizophydiales,967026,-,-,T
Banksiophoma australiensis,7513574,-,-,T
Amycolatopsis sp. AR1438,297038,-,-,T
Trimorphomyces papilionaceus,707506,-,-,T
Chroomonas coerulea,580383,-,-,T
Pluteus pellitus,1010503,-,-,T
Wolbachia symbiont of Radopholus similis,488733,-,-,T
Sphingopyxis sp. TPD13,532452,-,-,T
Polaribacter sp. Hel1_33_78,5234315,-,-,F
Thalassiosira minima,1050505,-,-,T
Annelida,941620,-,-,T
Fusarium sp. GX1-5B,204518,-,-,F
Lamprocystis purpurea,383337,-,-,T
Anigsteinia clarissima,454679,-,-,T
Strongyloides venezuelensis,780467,-,-,T
Laetinaevia carneoflavida,4041761,-,-,T
Thermanaerothrix daxensis,852698,-,-,T
Ophiosimulans tanaceti,6377837,-,-,T
Lophodermium petrakii,962684,-,-,T
Chondracanthus teedei,895948,-,-,T
Verrucaria placida,5310462,-,-,T
Agaricus bitorquis,737455,-,-,T
Devosia albogilva,584204,-,-,T
Podospora conica,648270,-,-,T
Phialella quadrata,394801,-,-,T
Cenchrus purpureus,501877,-,-,T
Dictyothamnion saltatum,417398,-,-,T
Cocconeis placentula,148815,-,-,T
Cymatopleura solea,707777,-,-,T
Apokeronopsis wrighti,356905,-,-,T
Euplotes qatarensis,5986617,-,-,T
Limnadopsis birchii,964999,-,-,T
Microcera rubra,235080,-,-,T
Minimelanolocus melanicus,5695749,-,-,T
Preussia fleischhakii,319948,-,-,T
Haslea ostrearia,172203,-,-,T
Elaphomyces decipiens,287035,-,-,T
Boletus pallidus,856624,-,-,T
Sirobasidium sp. MY-2016,7526724,-,-,F
Pythium sp. CLE-2015d,5585296,-,-,F
Colpophyllia natans,706974,-,-,T
Planifilum composti,92007,-,-,T
Alternaria abundans,948091,-,-,T
Thiohalophilus thiocyanatoxydans,33958,-,-,T
Inmirania thermothiophila,5906003,-,-,T
Koliella spiculiformis,42383,-,-,T
Heliothrix oregonensis,47748,-,-,T
Robertkochia marina,4768439,-,-,T
Dyadobacter fermentans,610677,-,-,T
Methyloglobulus morosus,4785091,-,-,T
Dactylellina sp. XZ04-92-1,1041825,-,-,F
Chlorococcum costatozygotum,5152296,-,-,T
Aglaophenia tubiformis,6501,-,-,T
Ramlibacter sp.,290647,-,-,T
Bythopirellula goksoyri,5256687,-,-,T
Bacillus sp. CJNY6,15793,-,-,F
Candidatus Nitrospira inopinata,5896338,-,-,T
Protoperidinium cf. depressum,954486,-,-,T
Salinithrix halophila,5361016,-,-,T
Clathria prolifera,2836842,-,-,T
Kocuria rosea,720570,-,-,T
Thiorhodovibrio winogradskyi,945886,-,-,T
Caldilinea aerophila,387208,-,-,T
Saprolegnia megasperma,679514,-,-,T
Thiocystis violacea,665918,-,-,T
Pseudoalteromonas sp. BSi20628,949026,-,-,T
Kurtzmanomyces shapotouensis,4934685,-,-,T
Sarsia tubulosa,778787,-,-,T
Psychrobacter pulmonis,514813,-,-,T
Pleurotus eryngii,216726,-,-,T
Polysiphonia sp. 1Cal,5654229,-,-,F
Actinommidae,996732,-,-,F
Ptychostomum funkii,409273,-,-,T
Halobaculum sp.,763911,-,-,F
Teratosphaeriaceae,234186,T,mrcaott235ott6545,T
Ferrimicrobium sp. XV11,5642403,-,-,F
Chloroflexaceae,973293,-,-,T
Cytospora cf. austromontana JZG-2008,676815,-,-,T
Tahibacter aquaticus,707192,-,-,T
Pluteus petasatus,684078,-,-,T
Chironomidae,661367,-,-,T
Chelyosoma siboja,726800,-,-,T
Chaetomium sp. 2 JAS-2013,5220095,-,-,F
cf. Rhizoctonia sp. CC28,5438529,-,-,T
Colletotrichum gloeosporioides,192930,-,-,T
Noviherbaspirillum suwonense,225814,-,-,T
Naohidea sebacea,165914,-,-,T
Cyanidiaceae,696106,-,-,F
Pseudoalteromonas sp. NJ62,605794,-,-,F
Heterocephalacria bachmannii,465714,-,-,T
Pseudomonas sp. VT1B,5172279,-,-,F
Bartalinia robillardoides,442850,-,-,T
Ramlibacter sp. A15(2011),979902,-,-,T
Sebacina epigaea,223215,-,-,T
Amphora cf. capitellata,973998,-,-,T
Wenyingzhuangia gracilariae,5615211,-,-,T
Maunachytrium keaense,911393,-,-,T
Klebsormidium sp. BIOTA 14621.10.44,60703,-,-,T
Dryodora glandiformis,3684150,-,-,T
Oceanicola sp. BGMRC02054,5996872,-,-,F
Brinjal little leaf phytoplasma,336938,-,-,T
Edaphobacter sp. SBC68,7001954,-,-,T
Bacillus aryabhattai,796778,-,-,T
Chlorococcum paludosum,5917824,-,-,T
Hemiflagellochloris kazakhstanica,338641,-,-,T
Hebeloma cavipes,692165,-,-,T
Aspidisca fusca,2822954,-,-,T
Pseudolabrys sp. UBH10,5636353,-,-,F
Colwelliaceae,462335,-,-,T
Rinodina oxydata,898695,-,-,T
Pseudomonas sp. TSH68,456066,-,-,T
Erythrobacter sp. CUA-777,5634891,-,-,F
Clavella addunca,821334,-,-,T
Tremella aff. globispora IMUFRJ 52033,860157,-,-,T
Ceraticelus crassiceps,121355,-,-,T
Aspergillus cibarius,454624,-,-,T
Coniolariella hispanica,1086867,-,-,T
Vibrio chagasii,399075,-,-,T
Candidatus Kuenenia stuttgartiensis,98015,-,-,T
Glomerella glycines,5308715,-,-,T
Cancrincola plumipes,977892,-,-,T
Euduboscquella sp. ex Favella panamensis,1080721,-,-,F
Harknessia globispora,804814,-,-,T
Pseudulvella consociata,483722,-,-,T
Coryneum arausiaca,5308645,-,-,T
Stokesia sp. WS-2014,5986464,-,-,T
Crenotalea thermophila,5234254,-,-,T
Tubeufia helicomyces,1051951,-,-,T
Rhodocista sp.,464921,-,-,T
Collybia hariolorum,154426,-,-,T
Closterium littorale,1026063,-,-,T
Phoma adonidicola,3731733,-,-,T
Cochliobolus pallescens,868065,-,-,T
Scolecobasidium excentricum,821605,-,-,T
Suessiales,183160,-,-,F
Parviterribacter kavangonensis,5580959,-,-,T
Blastocladiella britannica,235997,-,-,T
Caldanaerobacter sp. enrichment culture clone C16,None,-,-,F
Hymenena sp. 3GWS,5654500,-,-,F
Naganishia bhutanensis,128626,-,-,T
Histriculus histrio,487352,-,-,T
Sphingosinicella sp.,714708,-,-,T
Sphingobium jiangsuense,433358,-,-,T
Chlamydomonas sp. CCAP 11/149,101067,-,-,F
Ciborinia camelliae,257712,-,-,T
Thermanaerovibrio sp. R101,157337,-,-,F
Praya dubia,486578,-,-,T
Gungnir neglectum,20292,-,-,T
Rhodobiaceae,139538,-,-,T
Cercophora areolata,713806,-,-,T
Sydowia polyspora,530860,-,-,T
Mucoromycota,6376512,-,-,F
Pythium sp. WJB-1,4028902,-,-,F
Reinekea marinisedimentorum,4017927,-,-,T
Anderseniella baltica,580797,-,-,T
Gozmanyina majesta,1014555,-,-,T
Stereaceae,934885,T,mrcaott471ott5265,T
Inocybe pseudoreducta,449381,-,-,T
Coprinopsis ochraceolanata,1091184,-,-,T
Sphingomonas sp. VC-YC6666,325690,-,-,F
Lewinella marina,1078820,-,-,T
Bacteriovoracales,7030466,-,-,F
cf. Laternula sp. DH-2009,1064946,-,-,T
Bacterioplanes sanyensis,4785309,-,-,T
Gigaspora rosea,149958,-,-,T
Granulosicoccus sp.,764055,-,-,T
Phaeococcomyces sp. MA 4712,359759,-,-,F
Penicillium hoeksii,5696610,-,-,T
Marchantiopsida,991932,-,-,T
Chroomonas sp. M1481,414520,-,-,T
Candidatus Captivus acidiprotistae,693752,-,-,F
Amyloodinium ocellatum,32513,-,-,T
Sphingobacterium sp. P-38,340870,-,-,F
Proteocatella sp. feline oral taxon 050,5605330,-,-,F
Bangiaceae,864269,-,-,T
Phoma betae,5318830,-,-,T
Sphingomonas aerophila,5170855,-,-,T
Micromonas sp. HM4,7043073,-,-,F
Ramularia agastaches,3719215,-,-,T
Rubritalea sabuli,532911,-,-,T
Rikenellaceae,752294,-,-,T
Hyphodontia alutaria,723272,-,-,T
Magnaporthaceae,168443,T,ott971709,T
Lithophila guttulata,None,-,-,F
Fusarium avenaceum,406461,-,-,T
Peyronellaea eucalypti,7513014,-,-,T
Microdochium phragmitis,503582,-,-,F
Chloromonas sp. CCCryo208-05,184496,-,-,F
Streptomyces sp. UYEF31,5884791,-,-,F
Serendipita sp. MAFF 305840,5678775,-,-,F
Caenimonas sp. SL110,5383201,-,-,F
Tamaricicola muriformis,6377945,-,-,T
Myrmecridium schulzeri,580717,-,-,T
Lagenidium sp. PWL-2010h,340782,-,-,F
Shuttleworthia satelles,633030,-,-,T
Pseudoalteromonas sp. B2-3,497487,-,-,F
Dacrymyces chrysospermus,985688,-,-,T
Massilia sp.,225781,-,-,T
Chromatocurvus halotolerans,4790614,-,-,T
Noviherbaspirillum sp. IMCC25617,5903785,-,-,F
Lagenidium sp. DAOM 242348,6391554,-,-,F
Cyclotella choctawhatcheeana,826091,-,-,T
Geastrum fornicatum,615030,-,-,T
Coprinellus sp. MA-1,5984007,-,-,F
Kangiella koreensis,943598,-,-,T
Spirosoma flavum,7009042,-,-,T
Simocybe sp. HMJAU sn,5445351,-,-,F
Cyanoplax dentiens,2866723,-,-,T
Terrimonas arctica,5615561,-,-,T
Hemiamphisiella terricola,2822498,-,-,T
Chlamydomonas sp. KU111,5661814,-,-,F
Polytrichum juniperinum,1012879,-,-,T
Syrrhopodon mahensis,237176,-,-,T
Trachybryum megaptilum,102693,-,-,T
Pinnularia neglectiformis,587088,-,-,T
Dexiotricha cf. granulosa,5302301,-,-,T
Pseudoruegeria aestuarii,5641039,-,-,T
Penicillium sp. ShG4C,6378235,-,-,F
Astomatida,3879,-,-,F
Blastococcus sp. I12A-02971,5879698,-,-,F
Desulforhopalus singaporensis,819626,-,-,T
Saccotheciaceae,5347805,-,-,F
Albidovulum xiamenense,186613,-,-,T
Tomentella sp. 9 RG-2012,5262204,-,-,F
Chlamydomonas sp. 880,809220,-,-,F
Albugo laibachii,609537,-,-,F
Spizellomycetales,383212,-,-,T
Dactylellina ellipsospora,342904,-,-,T
Chthoniobacteraceae,5249348,-,-,T
Haliclona amboinensis,2835000,-,-,T
Fusarium neocosmosporiellum,149805,-,-,T
Nectriaceae,104185,T,ott971709,T
Fonsecazyma mujuensis,442962,-,-,T
Samythella neglecta,4975777,-,-,T
Nibrella saemangeumensis,659670,-,-,T
Phaeothecoidea intermedia,286621,-,-,T
Deinococcus persicinus,5890780,-,-,T
Crocicreas cyathoideum,468964,-,-,T
Vibrio lentus,888070,-,-,T
Basidiomycota,634628,-,-,T
Marinobacter sp. P4B1,254252,-,-,F
Ulnaria acus,992764,-,-,T
Marivibrio halodurans,7026623,-,-,T
Sphingomonas fennica,243608,-,-,T
Seinonella peptonophila,627689,-,-,T
Suillus pungens,450302,-,-,T
Acoela,283423,-,-,T
Actinoplanes sp. 80820,531824,-,-,T
Monogononta,641254,-,-,T
Peronospora tomentosa,4027919,-,-,T
Aduncodinium glandula,5663598,-,-,T
Exophiala xenobiotica,335331,-,-,T
Ruminococcus callidus,121346,-,-,T
Peronospora belbahrii,256024,-,-,T
Prosuberites laughlini,50317,-,-,T
Jannaschia sp. CCS1,619365,-,-,T
Desulforhabdus sp. DDT,164134,-,-,F
Juncus wallichianus,184505,-,-,T
Palmaria palmata,725574,-,-,T
Aquisphaera giovannonii,4790876,-,-,T
Pythium violae,373133,-,-,T
Pythium sp. AL-2010,4028814,-,-,F
aff. Pleospora welwitschiae,6377943,-,-,T
Phaeosphaeriopsis sp. TMS-2011,897956,-,-,F
Caloramator australicus,1017051,-,-,T
Ferreiraella xylophaga,329074,-,-,T
Alpova alpestris,880076,-,-,T
Cephalotheca sulfurea,649022,-,-,T
Candidatus Arcobacter sulfidicus,574381,-,-,T
Prosthecobacter dejongeii,75304,-,-,T
Terriglobus sp. L56,5642338,-,-,F
Phellinus laevigatus,19396,-,-,T
Cosmarium bisphaericum,727432,-,-,T
Asanoa sp. I12A-02658,5882419,-,-,T
Pythium myriotylum,993885,-,-,T
Ruegeria atlantica,208600,-,-,T
Lecane leontina,1090177,-,-,T
Saitozyma podzolica,706695,-,-,T
Piskurozyma taiwanensis,8009700,-,-,F
Sporocytophaga myxococcoides,818124,-,-,T
Acidovorax sp. NII-0922,760061,-,-,T
Surirella striatula,2814583,-,-,T
Oleispira lenta,551156,-,-,T
Porellales,633599,-,-,T
Acaulospora sp. ISC-2012,5405924,-,-,F
Methylocella silvestris,788519,-,-,T
Micromonospora sp. I15A-00817,5882496,-,-,F
Thermovenabulum ferriorganovorum,1002755,-,-,T
Apiotrichum montevideense,542842,-,-,T
Pseudomonas viridiflava,682997,-,-,T
Sphaerozoidae,566624,-,-,F
Erythrobacter sp. Tn18,5901185,-,-,F
Thermohalobacter berrensis,899386,-,-,T
Kinneretia sp.,965198,-,-,T
Dendrochytridium crassum,358356,-,-,T
Adelina grylli,636563,-,-,T
Dictyoglomus thermophilum,1073944,-,-,T
Sonderiidae,628644,-,-,F
Devosia sp. CK32 8.1,894938,-,-,F
Myriangium duriaei,870746,-,-,T
Gillisia sp. NP17,340246,-,-,T
Cryptococcus neoformans,48333,-,-,T
Rhodospirillales,277145,T,mrcaott143ott295,T
Erythrobacter luteus,5634888,-,-,T
Sphingomonas sp. JS8(2011),176335,-,-,T
Discotricha papillifera,2825855,-,-,T
Reticulascaceae,862100,-,-,T
Festuca pratensis,105567,-,-,T
Legionella norrlandica,5379430,-,-,T
Aureobasidium sp. 13 KW-2015,5715133,-,-,F
Cryptococcus sp. S-27,5674296,-,-,F
Inocybe quietiodor,1027646,-,-,T
Phlyctochytrium planicorne,604880,-,-,T
Metschnikowia zobellii,94069,-,-,T
Heteroconium triticicola,664448,-,-,T
Chaetosphaeronema hispidulum,1049011,-,-,T
Neopseudocercosporella brassicae,33423,-,-,T
Neonectria sp. CHTAF1,749558,-,-,F
Microdochium nivale,77432,-,-,T
Pythium aff. intermedium JEB-2016,5988194,-,-,T
Tectocepheus sarekensis,86937,-,-,T
Glomus sp. Att565-7,737281,-,-,F
Aglaothamnion sp.,878967,-,-,T
Murispora fagicola,5977933,-,-,T
Opercularella lacerata,971197,-,-,T
Bracteacoccus bohemiensis,960196,-,-,T
Amphiprora alata,827653,-,-,T
Euterpina acutifrons,926399,-,-,T
Anoxybacillus kestanbolensis,675705,-,-,T
Neosiphonia yendoi,7357,-,-,T
Hymenobacter sp. TEGR-7,5886290,-,-,F
Luedemannella sp. 119-1-07,990827,-,-,T
Azospirillum sp. cf03,1079376,-,-,T
Ureibacillus thermosphaericus,438005,-,-,T
Azospirillum lipoferum,559486,-,-,T
Thiothrix sp. FBR0112,617314,-,-,T
Coniothyrium sp. JK40,368185,-,-,F
Streptomyces sp. Am 04,833500,-,-,F
Siccationidurans ginsengisoli,396432,-,-,T
Drechslera andersenii,634699,-,-,T
Sphingomonas sp. BR12188,80718,-,-,F
Brachistosternus sp. 2 LP-2016,6175781,-,-,F
Leptomitales,179536,-,-,T
Poteriospumella sp.,6036,-,-,T
Klebsormidium subtilissimum,230059,-,-,T
Rhaphoneis sp. s0366,663109,-,-,T
Janthinobacterium lividum,765251,-,-,T
Neorhodella cyanea,969477,-,-,T
Schwanniomyces sp. JY119,7511184,-,-,F
Bacterosira constricta,2811607,-,-,T
Glomus sp. 25 ZHNL-2013c,5670585,-,-,F
Leptocylindrus danicus,572765,-,-,T
Orbilia flavida,3789077,-,-,T
Pleurozia purpurea,33997,-,-,T
Hirsutella rhossiliensis,965381,-,-,T
Sphaerochaeta coccoides,147904,-,-,F
Lysobacter taiwanensis,240101,-,-,T
Actinocatenispora rupis,28658,-,-,T
Myriangiales,1063917,-,-,T
Pfiesteria piscicida,490528,-,-,T
Parvibaculum lavamentivorans,330771,-,-,T
Azospirillum sp. enrichment culture clone yan50,5169905,-,-,T
Clostridium sp. enrichment culture clone d-7,None,-,-,F
Physalacriaceae,1082072,-,-,T
Aora gracilis,268589,-,-,T
Selenidium pendula,4923490,-,-,T
Pentapharsodinium tyrrhenicum,1037261,-,-,T
Mucilaginibacter gynuensis,4768218,-,-,T
Penicillium brevicompactum,226491,-,-,T
Drechslera campanulata,799047,-,-,T
Puccinia esclavensis,3843522,-,-,T
Fusarium incarnatum,1044684,-,-,T
Agitococcus lubricus,230333,-,-,T
Clostridium sp. TSAR19,5365263,-,-,F
Klebsormidium flaccidum,799391,-,-,T
Parageobacillus thermantarcticus,881284,-,-,T
Cerrenaceae,7525367,-,-,F
Blastocatellia,5575582,-,-,F
Fusarium delphinoides,164239,-,-,T
Mesorhizobium albiziae,449792,-,-,T
Candidatus Koribacter versatilis,4791143,-,-,T
Phenylobacterium hankyongense,5896747,-,-,T
Thermomicrobia,5889463,-,-,T
Aeromonas sobria,181236,-,-,T
Phacidium lacerum,812162,-,-,T
Pseudomonas sp. PR1-24,318661,-,-,F
Desmodesmus multivariabilis,62923,-,-,T
Diaporthe novem,406888,-,-,T
Marvania geminata,149092,-,-,T
Tabularia fasciculata,79380,-,-,T
Bipolaris cynodontis,40721,-,-,T
Edaphobacter dinghuensis,5642347,-,-,T
Kofleria sp. DSM 53797,96482,-,-,T
Methylobacterium gossipiicola,670783,-,-,T
Listeria weihenstephanensis,298631,-,-,T
Lacinutrix sp. 5H-3-7-4,1010874,-,-,T
Achlya apiculata,753698,-,-,T
Lagenidium deciduum,814685,-,-,T
Myrmeleontidae,1094296,-,-,T
Gracilimonas sp. HME9591,5383989,-,-,F
Odonthalia floccosa,578955,-,-,T
Agalma elegans,536352,-,-,T
Flavobacterium sp. WW21,5383847,-,-,F
Armophorea,1004604,-,-,T
Pythium sp. UASWS0227,4028628,-,-,F
Chaetomiaceae,137202,-,-,T
Arcobacter sp. KT0913,614806,-,-,T
Sarcocystis sinensis,614617,-,-,T
Endothiovibrio diazotrophicus,4788290,-,-,T
Oxytrichidae,1060048,-,-,T
Cymbella aspera,148813,-,-,T
Nemania serpens,664322,-,-,T
Rhizorhapis suberifaciens,18691,-,-,T
Helicoma olivaceum,104168,-,-,T
Scedosporium apiospermum,464781,-,-,T
Ceramiaceae,629558,-,-,F
Pseudoalteromonas sp. MMRF629,5630593,-,-,F
Urosomoida paragiliformis,6383530,-,-,T
Candidatus Tectomicrobia,5904501,-,-,F
Legionella sp. Gi-1,742872,-,-,T
Devosia sp. Emb19,5170433,-,-,F
Penicillium sp. GW_OTU49,5979691,-,-,F
Tentaculata,523271,-,-,T
Handkea utriformis,3829423,-,-,T
Cladophialophora sp. KO-groupA 2014,5695735,-,-,F
Desulfovibrio sp.,968902,-,-,T
Oxytricha sp. Oc_L1,4030831,-,-,T
Hymenobacter sp. S1-2-2-6,7008963,-,-,T
Cryptotrichosporon anacardii,373265,-,-,T
Geastrum striatum,608977,-,-,T
Methylobacter ucrainicus,5908070,-,-,T
Chromulina chionophila,373301,-,-,T
Chondrophycus sp.,33103,-,-,T
Leptosphaeriaceae,555349,T,mrcaott1320ott37385,T
Musa sp. 12 WJDI-2017,7048262,-,-,F
Bolbitius vitellinus,103193,-,-,T
Amaricoccus macauensis,142047,-,-,T
Pulvinula carbonaria,155486,-,-,T
Sphingosinicella sp. YJ22,63081,-,-,T
Salicola sp.,110158,-,-,T
Gloeodontia subasperispora,5299561,-,-,T
Artemisina melana,373122,-,-,T
Hippodonta capitata,97390,-,-,T
Chlamydomonas sp. CCAP 11/161,307485,-,-,F
Cryptococcus sp. AY-59,315809,-,-,F
Acuticoccus sp.,5996821,-,-,T
Thalassiosira sp. RCC4792,7559213,-,-,F
Roseovarius pelophilus,1092790,-,-,T
Embellisia astragali,273333,-,-,T
Pythium acanthophoron,525397,-,-,T
Distaplia dubia,1058797,-,-,T
Pseudomonas sp. 15BB,5379240,-,-,F
Granulicella sp. L60,5642333,-,-,F
Hymenobacter sp. 1-3-3-8,7008960,-,-,T
Methylobacterium sp. Ellin168,923250,-,-,T
Thermomonospora chromogena,689822,-,-,T
Leptolegnia chapmanii,395247,-,-,T
Styela montereyensis,191339,-,-,T
Chytridiomycota,177160,T,mrcaott109ott3465,T
Amphitritides gracilis,479088,-,-,T
Wilsonosiphonia fujiae,7059581,-,-,T
Marionina sp. D LM-2012,980406,-,-,F
Peltula umbilicata,132432,-,-,T
Kreyellidae,932226,-,-,F
Veronaea sp. HB,5979221,-,-,F
Isosphaera sp. Br2-1,519168,-,-,T
Nitzschia microcephala,701543,-,-,T
Mariniphaga anaerophila,5357456,-,-,T
Peronospora calotheca,225094,-,-,T
Ruinenia diospyri,509276,-,-,T
Methanomassiliicoccus sp. 486,5585668,-,-,F
Acaulospora baetica,5976581,-,-,T
Thioalkalivibrio thiocyanodenitrificans,668820,-,-,T
Pseudonocardia sp.,874917,-,-,T
Virgibacillus sp. WSR35,5612027,-,-,F
Rubrobacter sp. VS-111,290514,-,-,F
Tomentella stuposa,998231,-,-,T
Malikia granosa,422004,-,-,T
Phragmatopoma californica,857808,-,-,T
Sarcocystidae,775241,-,-,F
Mariniflexile sp. KMM 6695,5383592,-,-,F
Cecidomyiidae,933819,-,-,T
Clostridium merdae,7019884,-,-,T
Pleurotus citrinopileatus,485977,-,-,T
Adhaeribacter sp. ST_BT3S_02,7008896,-,-,F
Phyllosticta speewahensis,5311360,-,-,T
Filobasidiales,747035,-,-,T
Diatrypella verruciformis,691653,-,-,T
Fibrocapsa japonica,358426,-,-,T
Rubrimonas cliftonensis,619562,-,-,T
Syntrophobacter fumaroxidans,399534,-,-,T
Epicoccum sp. CAR,5712976,-,-,F
Quisquiliibacterium transsilvanicum,5580671,-,-,T
Ochromonas vasocystis,837755,-,-,T
Hymenobacter sp. 29F,493394,-,-,T
Phaeotremella skinneri,706700,-,-,T
Trechispora alnicola,211567,-,-,T
Mucilaginibacter galii,7010642,-,-,T
Proales similis,412238,-,-,T
Geranomyces variabilis,306896,-,-,F
Thiothrix sp. ectosymbiont of Niphargus ictus,601618,-,-,T
Sphingomonas sp. ygr06,563198,-,-,T
Lulwoana sp. MUT 1483,5982277,-,-,F
Biddulphia tridens,677903,-,-,T
Flavobacterium columnare,686937,-,-,T
Melanogaster ambiguus,272972,-,-,T
Hyaloscypha sp. TNS-F17350,5457734,-,-,F
Pyrophacus steinii,423799,-,-,T
Inonotus andersonii,629453,-,-,T
Nitrolancea hollandica,759377,-,-,T
Cortinarius jardinensis,758264,-,-,T
Deinococcus sp. N3,4791318,-,-,F
Flavobacterium flevense,112690,-,-,T
Pseudomonas sp. ICB370,1060321,-,-,F
Gemmina gemmarum,4045293,-,-,T
Nocardioides agrisoli,5992503,-,-,T
Phoma sp. S4S207,5713662,-,-,T
Nusuttodinium poecilochroum,741896,-,-,T
Cyphellophora oxyspora,817996,-,-,T
Inquilinus sp. ET1s8,5635799,-,-,F
Symbiobacterium turbinis,689218,-,-,F
Thalassiosira sp. RCC4793,7559214,-,-,F
Hymenoscyphus scutula,4042486,-,-,T
Salinicola halophilus,670184,-,-,T
Psychrobacillus psychrodurans,159123,-,-,F
Gymnodiniales,274338,-,-,F
Dysteriidae,1037212,-,-,F
Phenoliferia psychrophila,4095339,-,-,T
Volutella ciliata,531147,-,-,T
Sphingomonas sp. V3M19,905275,-,-,T
Odontella sp. RCC2558,5656048,-,-,F
Achlya ambisexualis,555798,-,-,T
