fam_name, ott_id, broken_taxon, mrca_of_descendents, in_synth_tree
Chordariaceae,556107,T,mrcaott2378ott3345,Node
Clostridiales Family XII. Incertae Sedis,None,-,-,False
Bartaliniaceae,5982737,-,-,False
Bursariidae,1016180,-,-,Leaf
Bracteacoccaceae,812632,-,-,Leaf
Albuginaceae,1037345,-,-,False
Ustilaginaceae,809218,T,mrcaott9098ott13162,Leaf
Chroococcidiopsidaceae,5993764,-,-,False
Cystocloniaceae,409806,-,-,False
Valsaceae,103004,-,-,Leaf
Geraniaceae,948914,-,-,Leaf
Flabellulidae,263577,-,-,False
Braconidae,678079,-,-,Leaf
Hymenochaetaceae,569043,T,ott1012685,Node
Ancylistaceae,167665,T,ott887960,Node
Thalassiosiraceae,422796,-,-,False
Halymeniaceae,880583,-,-,False
Kineosporiaceae,41216,-,-,Leaf
Archaeorhizomycetaceae,600871,-,-,Leaf
Claroideoglomeraceae,946830,-,-,Leaf
Trimorphomycetaceae,6382585,-,-,False
Puniceicoccaceae,284450,T,ott793486,Node
Flavobacteriaceae,246447,T,mrcaott50ott1100,Node
Geodermatophilaceae,805882,-,-,Leaf
Bryometopidae,60766,-,-,False
Kofleriaceae,94318,-,-,Leaf
Spongiibacteraceae,5587899,-,-,False
Scenedesmaceae,651335,T,mrcaott185ott1426,Node
Fibrobacteraceae,220318,-,-,Leaf
Kentrophoridae,962515,-,-,Leaf
Russulaceae,611412,T,ott1012685,Node
Codonellidae,84211,-,-,False
Caldicoprobacteraceae,139073,-,-,Leaf
Vaucheriaceae,223421,-,-,Leaf
Cyphellophoraceae,5345109,-,-,Leaf
Psychromonadaceae,1039349,-,-,Leaf
Ascobolaceae,880973,-,-,Leaf
Inocybaceae,112540,T,mrcaott5864ott7040,Leaf
Thaumatomastigidae,4918143,-,-,Leaf
Cyaneidae,945739,-,-,Leaf
Rhizosoleniaceae,748232,-,-,False
Botryidiopsidaceae,754467,-,-,Leaf
Nucleariidae,619451,-,-,Leaf
Lithodesmiaceae,549293,-,-,False
Promicromonosporaceae,856874,-,-,Leaf
Rhizidiomycetaceae,910109,-,-,Leaf
Spathidiidae,613621,-,-,False
Suessiaceae,183161,-,-,Leaf
Campylobacteraceae,1033810,-,-,Leaf
Saccharomycetaceae,989994,-,-,Leaf
Anacardiaceae,423320,-,-,Leaf
Nassulopsidae,2825842,-,-,Leaf
Acinetosporaceae,632598,-,-,Leaf
Lewinellaceae,7010604,-,-,False
Pseudodifflugiidae,875565,-,-,False
Chionosphaeraceae,1085835,T,mrcaott23276ott60764,Node
Anaplasmataceae,904940,-,-,Leaf
Olpidiaceae,41885,-,-,Leaf
Nostocaceae,368778,-,-,False
Idiomarinaceae,740996,-,-,Leaf
Hydnodontaceae,84942,-,-,Leaf
Phaselicystidaceae,914477,-,-,Leaf
Malvaceae,279960,-,-,Leaf
Haloplasmataceae,4766965,-,-,Leaf
Raphidiophryidae,675702,-,-,Leaf
Epalxellidae,1046642,-,-,Leaf
Microcystaceae,4016880,-,-,False
Blepharismidae,159785,-,-,False
Bolbitiaceae,234956,T,mrcaott206ott11226,Leaf
Rhizobiaceae,158309,T,mrcaott89ott26838,Leaf
Crypthecodiniaceae,476861,-,-,False
Macrobiotidae,111444,-,-,Leaf
Mytilidae,1025541,T,mrcaott2556ott3381,Leaf
Euphorbiaceae,914245,T,mrcaott345ott24237,Leaf
Cochliopodiidae,767925,-,-,Leaf
Platyophryidae,69130,-,-,False
Nassulidae,354059,-,-,Leaf
Ambisporaceae,1056814,-,-,Leaf
Oedogoniomycetaceae,33394,-,-,Leaf
Chelatococcaceae,7023759,-,-,False
Lejeuneaceae,454406,-,-,Leaf
Sporidiobolaceae,4095240,T,ott634628,Node
Mycobacteriaceae,759688,-,-,Leaf
Exidiaceae,7524285,-,-,False
Geastraceae,735798,-,-,Leaf
Chroomonadaceae,1017386,-,-,False
Ectocarpaceae,48627,-,-,Leaf
Nigrogranaceae,7513520,-,-,Leaf
Enchytraeidae,840754,-,-,Leaf
Cladosporiaceae,5345481,T,ott971709,Node
Alcaligenaceae,324575,T,mrcaott89ott90,Node
Mortierellaceae,887963,-,-,Leaf
Auriscalpiaceae,48323,T,mrcaott48338ott86960,Leaf
Lichtheimiaceae,977237,-,-,Leaf
Malasseziaceae,5344510,-,-,False
Lobulomycetaceae,906923,-,-,Leaf
Gaiellaceae,232866,-,-,Leaf
Cavosteliaceae,502085,-,-,False
Rhopalodiaceae,344386,-,-,False
Kareniaceae,176428,T,mrcaott93910ott101878,Leaf
Melioribacteraceae,5158298,-,-,False
Pottiaceae,947452,T,ott821346,Node
Paulinellidae,247674,-,-,Leaf
Selenidiidae,677743,-,-,Leaf
Gautieriaceae,854146,-,-,False
Myxococcaceae,939441,-,-,Leaf
Pseudomuriellaceae,5602195,-,-,Leaf
Halosphaeriaceae,809127,-,-,Leaf
Rhodobiaceae,139538,-,-,Leaf
Cyclopidae,451821,-,-,Leaf
Venturiaceae,581435,T,mrcaott1724ott13442,Node
Methylophilaceae,344389,-,-,Leaf
Syntrophobacteraceae,623147,-,-,Leaf
Anisolpidiaceae,4807253,-,-,Leaf
Eudubosquellidae,453569,-,-,False
Holosporaceae,79296,-,-,Leaf
Zosteraceae,637476,-,-,Leaf
Campanulariidae,945740,T,mrcaott33385ott144192,Leaf
Steccherinaceae,6382178,-,-,False
Leptosphaeriaceae,555349,T,mrcaott1320ott37385,Node
Thelebolaceae,1085284,-,-,Leaf
Amoebophryaceae,530383,-,-,False
Stenostomidae,384494,-,-,Leaf
Desulfobulbaceae,846631,-,-,Leaf
Sirobasidiaceae,711446,-,-,Leaf
Colpodellidae,737171,-,-,Leaf
Philasteridae,953330,-,-,False
Powellomycetaceae,1680,-,-,Leaf
Peltospiridae,787698,-,-,Leaf
Cystofilobasidiaceae,740357,-,-,Leaf
Massarinaceae,506843,-,-,Leaf
Planctomycetaceae,839905,-,-,Leaf
Chromulinaceae,908565,-,-,False
Arenicellaceae,5580747,-,-,Leaf
Labilitrichaceae,5580861,-,-,False
Cephalothricidae,57430,-,-,Leaf
Comamonadaceae,1074529,-,-,Leaf
Gymnodiniaceae,867120,-,-,False
Chthoniobacteraceae,5249348,-,-,Leaf
Cicadellidae,990675,-,-,Leaf
Pseudonocardiaceae,126141,T,mrcaott10354ott17309,Leaf
Lulworthiaceae,90657,-,-,Leaf
Coriobacteriaceae,122715,T,mrcaott50ott184,Node
Marinifilaceae,5586314,-,-,False
Xanthomonadaceae,648766,-,-,Leaf
Pseudanabaenaceae,248085,-,-,False
Chenopodiaceae,5920024,T,mrcaott5200ott16365,Leaf
Microcionidae,161886,T,ott588758,Node
Heteropediaceae,1004453,-,-,False
Gnomoniaceae,708292,-,-,Leaf
Chlamydomonadaceae,474062,T,mrcaott1544ott9282,Node
Yersiniaceae,5998990,T,mrcaott103ott10716,Node
Aphanizomenonaceae,5575177,-,-,False
Methanomassiliicoccaceae,5580306,-,-,Leaf
Sclerotiniaceae,538149,T,ott51652,Node
Schizoporaceae,580418,-,-,Leaf
Prasiolaceae,668722,-,-,Leaf
Phaeotremellaceae,6382569,-,-,False
Bulleribasidiaceae,6382493,-,-,False
Herpetosiphonaceae,1085861,-,-,Leaf
Cryptosporidiidae,884552,-,-,False
Iamiaceae,967234,-,-,Leaf
Sebacinaceae,172586,-,-,Leaf
Orthodonellidae,1072118,-,-,Leaf
Bathycoccaceae,4734594,-,-,Leaf
Anaerolineaceae,974237,-,-,Leaf
Stachybotryaceae,5682364,-,-,False
Hypsibiidae,864429,-,-,Leaf
Verrucomicrobia subdivision 3,384339,-,-,Leaf
Nitrospiraceae,1024716,T,mrcaott6117ott105428,Leaf
Peronosporaceae,712864,-,-,False
Nitriliruptoraceae,454291,-,-,Leaf
Amoebidiaceae,892553,-,-,False
Polycystididae,162364,-,-,Leaf
Hoehnelomycetaceae,564639,-,-,False
Spirostomidae,781944,-,-,False
Peripatopsidae,1072438,-,-,Leaf
Onagraceae,1015483,-,-,Leaf
Chrysochromulinaceae,282114,-,-,False
Pelagiidae,983585,-,-,Leaf
Clostridiales Family XIII. Incertae Sedis,None,-,-,False
Hygrophoraceae,282217,T,mrcaott109ott206,Node
Caryophyllaceae,317818,-,-,Leaf
Actiniidae,419294,T,ott1084481,Leaf
Microdochiaceae,5682546,-,-,False
Chrysocapsaceae,884655,-,-,False
Volvocaceae,391142,-,-,Leaf
Azonexaceae,7030322,-,-,Leaf
Mysidae,833650,-,-,Leaf
Rhodocyclaceae,854063,-,-,Leaf
Mycosphaerellaceae,827790,T,ott971709,Node
Erysiphaceae,555361,-,-,Leaf
Hyphomicrobiaceae,377926,T,mrcaott89ott5304,Node
Suillaceae,457232,-,-,Leaf
Strophariaceae,590456,T,mrcaott2341ott3252,Node
Teichosporaceae,5345474,-,-,Leaf
Mrakiaceae,5985457,-,-,Leaf
Solirubrobacteraceae,871283,-,-,Leaf
Sandonidae,4005489,-,-,False
Cellvibrionaceae,5575234,-,-,False
Schizoparmaceae,4053762,-,-,Leaf
Goniomonadaceae,914455,-,-,False
Rosaceae,208036,-,-,Leaf
Legionellaceae,185173,-,-,Leaf
Caulobacteraceae,799500,-,-,Leaf
Phaeococcomycetaceae,5221632,-,-,False
Cerambycidae,968359,T,mrcaott11244ott21732,Leaf
Zygnemataceae,799383,-,-,Leaf
Lobariaceae,549050,-,-,Leaf
Heteromitidae,554902,-,-,False
Sarcocystidae,775241,-,-,False
Microcoleaceae,5586460,-,-,False
Prorodontidae,1010085,-,-,Leaf
Aizoaceae,367508,-,-,Leaf
Prorocentraceae,797788,-,-,Leaf
Amphidiniopsidaceae,5288565,-,-,False
Harknessiaceae,5342472,-,-,Leaf
Leotiaceae,120977,-,-,Leaf
Fagaceae,267713,-,-,Leaf
Plumatellidae,463358,-,-,Leaf
Dermateaceae,186927,-,-,Leaf
Spirochaetaceae,992113,-,-,Leaf
Omphalotaceae,309993,T,mrcaott109ott19801,Leaf
Erythrobacteraceae,253959,-,-,Leaf
Sphingobacteriaceae,1083672,-,-,Leaf
Dysgonamonadaceae,7008015,-,-,False
Physciaceae,216195,-,-,Leaf
Thioalkalispiraceae,845370,-,-,False
Parmeliaceae,305904,-,-,Leaf
Botryochloridaceae,1069673,-,-,False
Tintinnidae,773697,-,-,False
Oscillatoriaceae,4016245,-,-,False
Cryomorphaceae,600685,T,mrcaott1100ott56697,Leaf
Polyporaceae,60043,T,ott1012685,Node
Microcaliciaceae,4066951,-,-,Leaf
Hapalidiaceae,99087,-,-,Leaf
Clostridiaceae,748885,T,mrcaott184ott216,Node
Acidimicrobiaceae,132822,-,-,Leaf
Asteraceae,46248,-,-,Leaf
Rhizopogonaceae,1026597,-,-,Leaf
Eunotiaceae,111917,-,-,False
Cladophoraceae,1068370,-,-,Leaf
Pseudomonadaceae,767325,T,mrcaott89ott90,Node
Phragmonemataceae,1041969,-,-,Leaf
Coelogynoporidae,960814,-,-,Leaf
Piscirickettsiaceae,193070,T,mrcaott103ott33958,Node
Oscillochloridaceae,101829,-,-,Leaf
Tribonemataceae,223413,-,-,False
Streptosporangiaceae,751340,-,-,Leaf
Cystobasidiaceae,1024595,-,-,Leaf
Chaetonotidae,582597,-,-,Leaf
Grossglockneriidae,1091314,-,-,False
Thiobacillaceae,7030313,-,-,False
Pluteaceae,639988,-,-,Leaf
Dumontiaceae,409813,-,-,False
Prymnesiaceae,928328,-,-,False
Chloroflexaceae,973293,-,-,Leaf
Stephanodiscaceae,4026062,-,-,False
Desmacellidae,174866,T,mrcaott16797ott25808,Leaf
Arthrodermataceae,188805,T,mrcaott13947ott542218,Leaf
Pinaceae,994067,-,-,Leaf
Opheliidae,336915,-,-,Leaf
Heliobacteriaceae,19960,-,-,Leaf
Ascodesmidaceae,16909,-,-,Leaf
Cellulomonadaceae,856876,T,mrcaott73ott138,Node
Methylococcaceae,489013,-,-,Leaf
Kickxellaceae,313414,T,ott759290,Node
Alcanivoracaceae,441950,T,mrcaott103ott1562,Node
Prolixibacteraceae,5357451,-,-,False
Ochromonadaceae,297037,-,-,False
Brassicaceae,309271,-,-,Leaf
Glabratellidae,145056,-,-,Leaf
Cyclidiidae,310002,-,-,False
Philodinidae,831315,-,-,Leaf
Microbacteriaceae,231766,-,-,Leaf
Herpotrichiellaceae,1051950,T,ott971709,Node
Acaulosporaceae,157952,-,-,Leaf
Cucurbitariaceae,93060,-,-,Leaf
Xanthonemataceae,2821567,-,-,False
Entolomataceae,438740,T,mrcaott2427ott78376,Leaf
